frases_sem_erro,Frase_com_Erro
novas tecnologias,nova tecnologias
a produtividade,as produtividade
áreas afetadas,área afetadas
esse problema,esses problema
esses problemas,esse problemas
"os trabalhadores, o trabalhor",os trabalhador
"os trabalhadores, o trabalhor",o trabalhadores
mais pessoas,mais pessoa
todos tenham,todos tenha
todos viram,todos viu
as populações,as população
as pessoas,os pessoa
como ficam as pessoas,como fica as pessoas
esses serviços,esses serviço
com as próprias,com as própria
vemos as mudanças,vemos as mudança
são máquinas,é máquinas
tarefas repetitivas,tarefas repetitiva
o mercado está,o mercado estão
essas crianças,esse criança
"são substituídas, é substituída",são substituída
"são substituídas, é substituída",é substituídas
mudanças ocorridas,mudanças ocorrida
"o ser humano, os seres humanos",ser humanos
"o ser humano, os seres humanos",seres humano
três anos,três ano
os cidadãos,as cidadão
essas tecnologias,esse tecnologias 
as jovens,as jovem
o progresso ,as progresso
progresso foi,progresso foram
"governos devem, governo deve",governos deve
"governos devem, governo deve",governo devem
"governo investiu, governos envestirem",governo investiram  
"governo investiu, governos envestirem",governos investir
problemas sociais  ,problema sociais  
oportunidades iguais,oportunidades igual
oportunidades iguais,oportunidade iguais
trabalhadores lutam  ,trabalhador lutam  
meninas correram  ,meninas correu  
"exigem reflexões, exige reflexão",exige reflexões
essas soluções,essas solução
são desafios,é um desafios
são desafios,são desafio
elas sirvam,elas sirva
"estudantes responderam , estudante respondeu",estudante responderam
humanas coexistiam,humana coexistam
habilidades sociais,habilidades social
isso é essencial,isso e essencial
as cidades cresceram  ,as cidade cresceu
os rapazes saíram  ,os rapaz saiu
as matérias  ,as matéria
as pessoas chegaram ; as pessoas chegam,pessoas chegou
"os alunos respondem, os alunos responderam",os aluno responde
as crianças,as criança
criança brinca,criança brincam
os meninos foram  ,os menino foi
os amigos  ,os amigo
a gente foi  ,a gente fomos
as pessoas acharam  ,as pessoa achou
os cachorros correram  ,os cachorro correu
os colegas  ,os colega
os livros  ,os livro
as moças  ,as moça
as roupas  ,os roupas
apartamento reformado  ,apartamento reformada
ela está cansada  ,ela está cansado
"um grande , uns grandes",um grandes
"um grande , uns grandes",uns grande
os meninos  ,os menino
o pai e a mãe tentam,o pai e a mãe tenta
eles tentam,eles tenta
aquele fato  ,aquela fato
a gente está  ,a gente estamos
os carros  ,os carro
eles gostam  ,eles gosta
decisão acertada  ,decisão acertado
a comida  ,as comida
o texto  ,a texto
o problema  ,a problema
os dias  ,os dia
a falta de apoio prejudicou  ,a falta de apoio prejudicaram
as sociedades  ,as sociedade
os governos  ,as governo
as meninas  ,o meninas
as consequências  ,as consequência
as pessoas  ,o pessoas
os jovens  ,os jovem
os fatos mostram  ,fatos mostra
a política,o política
as políticas,a políticas
os pais  ,os pai  
os computadores  ,os computador  
as colegas  ,as colega  
aquelas crianças  ,aqueles criança  
as casas  ,as casa  
esses livros  ,essa livros  
os irmãos  ,os irmãos  
essas ideias  ,essas ideia  
as escolas  ,os escola  
essas regras  ,esse regras  
os grupos  ,as grupo  
os professores  ,os professor  
as árvores  ,as árvore  
os lugares  ,os lugar  
as janelas  ,as janela  
as televisões  ,as televisão  
aquelas mochilas  ,aquelas mochila  
essas cadeiras  ,essas cadeira  
ninguém sabia  ,ninguém sabiam  
as mães  ,as mãe  
as músicas  ,as música  
as questões  ,a questões  
essa menina  ,esse menina  
os animais  ,os animal  
as palavras  ,as palavras  
os pais  ,as pai  
essas moças  ,essas moça  
as cadeiras  ,os cadeira  
os amigos  ,o amigo  
as fotos  ,as foto  
os assuntos  ,os assunto  
aquelas crianças,aquelas criança
as mulheres,os mulher
questões são complexas  ,questão é complexas  
esses dados,esse dados
dados mostram,dado mostram
a família,as família
"o país, os países",os país
países recebem,países recebe
aquelas dificuldades,aquele dificuldades  
"alunos tiraram, alunou tirou",aluno tiraram 
"alunos tiraram, alunou tirou",alunos tirou
empresas faliram  ,empresas faliu  
empresas faliram  ,empresa faliram
direitos foram violados  ,direitos foi violado  
desafios aparecem  ,desafios aparece  
esses argumentos,essas argumento
argumentos são,argumentos é
aquelas leis,aquele leis
aquelas leis,aquela leis
leis novas,leis nova
pensamentos mudaram  ,pensamentos mudou
medidas funcionaram,medidas funcionou
meninas foram,meninas foi
ninguém quis,ninguém quiseram
os problemas continuam,os problema continua
faz dois anos,fazem dois anos
"meus amigos, meu amigo",meus amigo
"meus amigos, meu amigo",meu amigos
amigo chegou,amigo chegaram
as pessoas pensam,as pessoa pensa
essas provas,esse provas
os meninos vão,os menino vai
foram os irmãos que fizeram,foi os irmão que fez
ninguém gosta,ninguém gostam
as turmas viajaram,as turma viajou
a galera tava,a galera tavam
os carros velhos estão,os carro velho tão
as mochilas caíram,as mochila caiu
seus irmãos responderam,seus irmão respondeu
essas alunas não entendem,essas aluno não entende
aquela cadeira estava quebrada,aquele cadeira tava quebrado
esses meninos brincam muito,essas menino brinca muito
as cidades cresceram,as cidade cresceu
os rapazes saíram cedo,os rapaz saiu cedo
Oportunidades que requerem,oportunidades que requer
lidar com o mesmo,lidar como mesmo
essas informações  ,essas informação  
esse aluno pensa  ,esse aluno pensa  
as crianças sofrem  ,as criança sofre  
as pesquisas mostraram  ,pesquisas mostrou  
as escolhas  ,as escolha
esses valores  ,esse valores  
as pessoas foram  ,pessoas foi  
os alunos estudam  ,alunos estuda  
as estudantes  ,as estudante
as questões  ,as questão
esses fatores  ,esse fatores  
as famílias brasileiras  ,famílias brasileira  
os jovens contribuem  ,os jovens contribui  
os dados revelam  ,dados revela  
essas práticas  ,essa práticas  
as dificuldades enfrentadas  ,dificuldades enfrentada  
os professores explicam  ,professores explica
as escolas  ,as escola
essas políticas  ,essa políticas  
os desafios parecem  ,os desafios parece  
os trabalhadores sofrem  ,os trabalhadores sofre  
as consequências graves  ,consequências grave  
a sociedade vive  ,sociedade vivem  
a população brasileira  ,população brasileiras
as leis protegem  ,leis protege  
esses jovens  ,esse jovens  
as funções essenciais  ,função essenciais  
esses temas abordados  ,temas abordado  
as condições precárias  ,condições precária  
os exemplos  ,os exemplo
os problemas sociais  ,problema sociais  
as instituições  ,as instituição
a saúde está  ,a saúde estão  
essas desigualdades  ,essas desigualdade  
esses problemas estruturais  ,esse problema estruturais  
as crianças brasileiras  ,criança brasileiras  
essas mudanças ocorrem  ,essas mudanças ocorre  
o governo atual  ,os governo atual  
os professores  ,o professores  
as mães  ,os mães  
os efeitos negativos  ,efeito negativos
os efeitos negativos,efeitos negativo
os estudantes falam,os estudante fala
a gente foi,a gente foram
aqueles jovens,aqueles jovem
as consequências,as consequência
consequências maiores,consequências maior
pessoas sofrem,pessoas sofre
"crianças choraram, crianças choram",criança choraram
aquelas informações,aqueles informações
aquelas informações,aquela informações
os dados não revelam,os dados não revela
dados revelam,dados revela  
os alunos precisam,as alunos precisa
os pais ajudam,os pais ajuda
atitudes negativas,atitudes negativa
os problemas,os problema
problemas aumentam,problema aumenta
os impactos,os impacto
"impacto social, impactos sociais",impacto sociais
as jovens acreditam,as jovem acredita
jovens acreditam,jovem acreditam
as crianças brincaram,os crianças brincaram
as opiniões diferentes,a opiniões diferentes
as questões complexas,os questão complexa
os valores morais,as valores morais
essas decisões,essa decisões
os adolescentes participam,o adolescentes participa
os problemas crescem,as problema cresce
essas discussões,essas discussão
os riscos ambientais,os risco ambientais
as ideias inovadoras,as ideias inovadora
políticas sociais,políticas social
as estudantes responderam,as estudantes respondeu
aquela população,aqueles população
a escola investiu,o escola investiu
"governo investiu, governo investe",governo investiram  
essas atitudes,esses atitudes
quando as atitudes,quando as atitude
"o país precisa, os países precisam",o país precisam
os países querem,os países quer
"cidades se desenvolvem, cidades desenvolvem",cidades desenvolve
os direitos humanos,a direitos humanos
"o emprego, os empregos",os emprego
"o emprego, os empregos",o empregos
empregos geram,empregos gera
"pessoas sentem, pessoa sente",pessoas sente
"pessoas sentem, pessoa sente",pessoa sentem
"essas escolhas, essa escolha",esse escolhas
"essas escolhas, essa escolha",essa escolhas
"essas escolhas, essa escolha",essas escolha
escolhas difíceis,escolha difíceis
"escolhas difíceis, escolha difícil",escolhas difícil
"os grupos, o grupo",o grupos
"os grupos, o grupo",os grupo
"grupos discutiram, grupo discutiu",grupo dicutiram
"grupos discutiram, grupo discutiu",grupos discutiu
"grupo discute, grupos discutem",grupo discutem
"grupo discute, grupos discutem",grupos discute
"as propostas, a proposta",as proposta
"propostas novas, proposta nova",propostas nova
"propostas novas, proposta nova",proposta novas
"iniciativas funcionaram, iniciativa funcionou",iniciativa funcionaram
"iniciativas funcionaram, iniciativa funcionou",iniciativas funcionou
"governo tomou, governos tomaram",governo tomaram
"governo tomou, governos tomaram",governos tomou
"essas dificuldades, essa dificuldade",essas dificuldade
desafios apareceram,desafios apareceu
esses temas,essa temas
"pensamento mudou, pensamentos mudaram",pensamentos mudou
alternativas viáveis,alternativas viável
as medidas foram,as medidas foi
as questões foram,as questões foi
oportunidades surgiram,oportunidade surgiram
esses pontos,esse pontos
crianças choraram,crianças chorou
crianças choram,criança choram
as mulheres,os mulheres
mulheres lutam,mulheres luta
as vozes se calaram,as voz se calaram
impactos foram,impactos foi
"foi grande, foram grandes",foram grande
"medidas urgentes, medida urgente",medida urgentes
"medidas urgentes, medida urgente",medidas urgente
"essas medidas, essa medida",essas medida
"essas medidas, essa medida",essa medidas
não bastam promessas,não basta promessas
"precisam ações, precisam de ações",precisa ações
são necessárias,é necessárias
não resolvem os,não resolve os
"quando é desafio, quando são desafios",quando são desafio
salários dignos,salários digno
isso é essencial,isso e essencial
estão cansados,estão cansado
foi deixado,foi deixados
"desigualdade aumenta, desigualdades aumentam",desigualdade aumentam
"cidades continuarão, cidades continuam, cidade continuará",cidades continuará
"sociais vão se, social vai se",sociais vai se
as que estão,as que está
apresentadas até agora não resolvem,apresentadas até agora não resolve
"obstáculos enfrentados, obstáculo enfretado",obstáculos enfrentado
"estratégias que realmente funcionam, estratégia que realmente funciona",estratégias que realmente funciona
vão se alterando,vai se alterando
políticas públicas falham,políticas públicas falha
estudantes chegaram,estudantes chegou
escolas investiram,escola investiram
"população vive, populações vivem",população vivem
"famílias foram, família foi",famílias foi
Essas práticas não funcionam,essas práticas não funcionam
"soluções encontradas, solução encontrada",soluções encontrada
"crianças brincaram, criança brinca, criança brincou",criança brincaram
"crianças brincaram, criança brinca, criança brincou",crianças brincou
"pai trabalha, pais trabalham",pai trabalham
"pai trabalha, pais trabalham",pais trabalha
"trabalhadores saíram, trabalhador saiu",trabalhadores saiu
"trabalhadores saíram, trabalhador saiu",trabalhador saíram
direitos foram desrespeitados,direitos foi desrespeitado
direitos foram desrespeitados,direito foram desrespeitado
jovens precisam de oportunidade,jovens precisam oportunidade
população carece de recursos,população carece recurso
alunos gostam de matemática,alunos gostam matemática
pessoas têm medo das mudanças,pessoas têm medo mudanças
precisamos de políticas públicas,precisamos políticas públicas
eles abriram mão dos direitos,eles abriram mão direitos
sou favorável ao projeto,sou favorável projeto
ela é contra a reforma,ela é contra reforma
temos acesso à informação,temos acesso a informação
o governo investe em tecnologia,o governo investe tecnologia
estão em busca de emprego,estão em busca emprego
a sociedade luta pela igualdade,a sociedade luta igualdade
devemos refletir sobre o problema,devemos refletir problema
eles contribuíram para a melhoria,eles contribuíram melhoria
tem interesse na área social,tem interesse área social
trabalhadores sofrem falta de apoio,trabalhadores sofrem falta apoio
precisam se adaptar às mudanças,precisam se adaptar mudanças
repeitar a dignidade,precisa respeita à dignidade
repeitar a dignidade,precisa respeita a digninidade
é preciso valorizar,é preciso valoriza
devemos combater,devemos combate
buscam promover,buscam promove
querem melhorar,querem melhora
por defender os,por defende os
para defender os,para defende os
para defender as,para defende as
tentam contribuir,tentam contribui
ajudam a desenvolver,ajudam a desenvolve
devem incentivar,devem incentiva
precisa oferecer apoio,precisa oferece apoio
necessário discutir o,necessário discuti o
deve implementar,deve implementa
precisa transformar a,precisa transforma a
precisa transformar o,precisa transforma o
querem fortalecer,querem fortalece
é fundamental estimular,é fundamental estimula
é importante reconhecer,é importante reconhece
precisamos entender,precisamos entende
não podemos ignorar,não podemos ignora
busca conscientizar,busca conscientiza
buscam conscientizar,buscam conscientiza
sujeitos a errar,sujeitos a erra
contudo,com tudo
faz demais,faz de mais
devemos nos colocar,devemos se colocar 
podemos observar que ,podemos observa que 
mas tem,mais tem
ficar iludida com,fica iludida com
tenho que ficar,tenho que fica
temos que ficar,temos que fica
é um perigo,e um perigo
é papel do Estado garantir,é papel do estado garante
os comportamentos,os comportamento
esses fenômenos,esse fenômenos
os relatórios,o relatórios
essas estatísticas,essa estatísticas
as estatísticas,a estatísticas
as interaçoes,a interaçoes
aqueles argumentos,aquele argumentos
aqueles argumentos,Aqueles argumento
essas lembranças,essa lembranças
essas lembranças,essas lembrança
os conflitos,os conflito
esses episódios,esse episódios
os resultados,os resultado
os resultados,o resultados
aquelas exigências,aquelas exigência
as prioridades ,as prioridade
essas propostas,essas proposta
os  investimentos,o investimentos
os discursos ,os discurso
essas metáforas,essas metáfora
as experiências,as experiência
os sentimentos ,o sentimentos 
aquelas tradições,aquelas tradição
os sinais,o sinais
essas trajetórias ,essas trajetória
essas celebrações,essas celebração 
as estratégias,as estratégia
esses climas ,esses clima
os comportamentos,os comportamento
aquelas tentativas,aquelas tentativa
essas  chances,essas chance
as hipóteses ,as hipótese
esses contextos,esse contextos
os julgamentos ,o julgamentos 
as tendências ,as tendência
esses obstáculos ,esse obstáculos 
os ruídos,os ruído
aquelas lembranças,aquelas lembrança 
esses caminhos,esses caminho
os cenários,o cenários
os medos ,os medo
essas distrações,essas distração
as soluções,as solução
as regras,as regra
os encontros,os encontro
os desfechos,os desfecho
as tecnologias ,as tecnologia
as atitudes,os atitudes
O ritmo,o ritmo 
os jogadores,os jogador
as cordas,as corda
os memes ,os meme
os pelos,os pelo
as jogadas,as jogada
os desenhos,os desenho
as letras ,as letra
os sabores ,os sabor
as tatuagens,as tatuagem
os emojis,os emoji
as estampas da coleção,as estampa da coleção
os passos da coreografia ,os passo da coreografia
as brincadeiras,as brincadeira
os gols da partida,os gol da partida
as legendas ,as legenda
os filtros ,os filtro
as trilhas da floresta ,as trilha da floresta
os posts do influenciador,os post do influenciador
as manobras,as manobra
os estilos de dança,os estilo de dança
as luzes,a luzes
os quadros ,os quadro
as piadas,as piada
as críticas,as crítica